Time,A,B,C,D,E
0:08:00,0.127,0.167,0.215,0.098,0.128
0:18:00,0.135,0.141,0.171,0.097,0.123
0:28:00,0.147,0.154,0.177,0.097,0.133
0:38:00,0.16,0.166,0.178,0.097,0.144
0:48:00,0.171,0.175,0.176,0.097,0.155
0:58:00,0.18,0.189,0.174,0.097,0.164
1:08:00,0.195,0.207,0.17,0.097,0.175
1:18:00,0.221,0.233,0.167,0.097,0.198
1:28:00,0.244,0.26,0.162,0.097,0.218
1:38:00,0.275,0.294,0.158,0.098,0.244
1:48:00,0.308,0.331,0.154,0.097,0.273
1:58:00,0.347,0.378,0.151,0.097,0.308
2:08:00,0.384,0.41,0.147,0.097,0.348
2:18:00,0.406,0.435,0.144,0.097,0.367
2:28:00,0.427,0.459,0.142,0.097,0.388
2:38:00,0.445,0.483,0.139,0.097,0.405
2:48:00,0.468,0.505,0.136,0.097,0.422
2:58:00,0.486,0.528,0.134,0.097,0.445
3:08:00,0.504,0.546,0.133,0.096,0.462
3:18:00,0.513,0.559,0.133,0.097,0.471
3:28:00,0.524,0.569,0.131,0.097,0.482
3:38:00,0.534,0.579,0.13,0.098,0.495
3:48:00,0.545,0.589,0.129,0.097,0.503
3:58:00,0.557,0.602,0.128,0.098,0.514
4:08:00,0.567,0.616,0.127,0.097,0.523
4:18:00,0.577,0.627,0.127,0.097,0.532
4:28:00,0.586,0.632,0.126,0.097,0.541
4:38:00,0.599,0.64,0.125,0.097,0.553
4:48:00,0.607,0.65,0.126,0.098,0.562
4:58:00,0.61,0.652,0.124,0.097,0.565
5:08:00,0.614,0.654,0.124,0.097,0.565
5:18:00,0.608,0.653,0.124,0.097,0.563
5:28:00,0.607,0.652,0.124,0.097,0.561
5:38:00,0.611,0.65,0.123,0.097,0.561
5:48:00,0.611,0.65,0.123,0.098,0.56
5:58:00,0.605,0.648,0.123,0.097,0.559
6:08:00,0.605,0.648,0.124,0.098,0.559
6:18:00,0.603,0.647,0.125,0.098,0.558
6:28:00,0.603,0.646,0.125,0.097,0.559
6:38:00,0.601,0.652,0.125,0.098,0.557
6:48:00,0.599,0.646,0.125,0.097,0.557
6:58:00,0.598,0.65,0.126,0.097,0.556
7:08:00,0.598,0.644,0.132,0.097,0.556
7:18:00,0.604,0.643,0.127,0.097,0.556
7:28:00,0.597,0.642,0.128,0.097,0.554
7:38:00,0.595,0.639,0.13,0.098,0.552
7:48:00,0.598,0.639,0.13,0.097,0.55
7:58:00,0.592,0.637,0.13,0.097,0.549
8:08:00,0.598,0.636,0.133,0.097,0.547
8:18:00,0.589,0.644,0.134,0.097,0.546
8:28:00,0.589,0.636,0.137,0.097,0.545
8:38:00,0.587,0.634,0.138,0.097,0.544
8:48:00,0.593,0.646,0.141,0.097,0.55
8:58:00,0.586,0.645,0.144,0.097,0.542
9:08:00,0.585,0.632,0.148,0.098,0.542
9:18:00,0.584,0.63,0.152,0.097,0.541
