Time,A,B,C,D,E
0:08:00,0.178,0.109,0.115,0.12,0.142
0:18:00,0.159,0.105,0.122,0.129,0.093
0:28:00,0.171,0.103,0.131,0.14,0.094
0:38:00,0.181,0.102,0.142,0.152,0.095
0:48:00,0.196,0.101,0.153,0.164,0.096
0:58:00,0.223,0.102,0.162,0.174,0.097
1:08:00,0.247,0.102,0.174,0.19,0.099
1:18:00,0.276,0.101,0.191,0.217,0.101
1:28:00,0.313,0.101,0.215,0.241,0.103
1:38:00,0.352,0.1,0.239,0.274,0.107
1:48:00,0.386,0.1,0.272,0.312,0.11
1:58:00,0.41,0.1,0.309,0.352,0.116
2:08:00,0.434,0.1,0.354,0.387,0.123
2:18:00,0.452,0.1,0.377,0.411,0.131
2:28:00,0.478,0.1,0.405,0.435,0.142
2:38:00,0.501,0.1,0.425,0.454,0.154
2:48:00,0.518,0.1,0.445,0.48,0.165
2:58:00,0.534,0.101,0.471,0.502,0.176
3:08:00,0.543,0.101,0.491,0.52,0.192
3:18:00,0.553,0.102,0.508,0.534,0.218
3:28:00,0.565,0.102,0.52,0.544,0.241
3:38:00,0.576,0.102,0.529,0.552,0.275
3:48:00,0.587,0.102,0.541,0.565,0.312
3:58:00,0.598,0.103,0.552,0.574,0.351
4:08:00,0.603,0.102,0.562,0.583,0.386
4:18:00,0.61,0.102,0.572,0.593,0.41
4:28:00,0.619,0.102,0.581,0.6,0.431
4:38:00,0.623,0.102,0.586,0.605,0.451
4:48:00,0.625,0.102,0.595,0.614,0.474
4:58:00,0.623,0.102,0.602,0.62,0.492
5:08:00,0.623,0.102,0.602,0.622,0.505
5:18:00,0.621,0.103,0.602,0.623,0.517
5:28:00,0.62,0.103,0.601,0.627,0.527
5:38:00,0.62,0.102,0.6,0.62,0.538
5:48:00,0.619,0.103,0.598,0.618,0.548
5:58:00,0.618,0.103,0.599,0.618,0.557
6:08:00,0.619,0.102,0.596,0.616,0.568
6:18:00,0.617,0.102,0.596,0.615,0.581
6:28:00,0.617,0.102,0.594,0.614,0.586
6:38:00,0.615,0.103,0.597,0.613,0.6
6:48:00,0.614,0.102,0.594,0.612,0.606
6:58:00,0.613,0.103,0.593,0.61,0.607
7:08:00,0.614,0.102,0.591,0.611,0.605
7:18:00,0.614,0.102,0.592,0.612,0.603
7:28:00,0.613,0.103,0.59,0.61,0.601
7:38:00,0.611,0.102,0.589,0.609,0.6
7:48:00,0.609,0.103,0.59,0.609,0.598
7:58:00,0.607,0.102,0.588,0.607,0.599
8:08:00,0.605,0.103,0.587,0.607,0.597
8:18:00,0.605,0.102,0.586,0.604,0.597
8:28:00,0.603,0.102,0.585,0.603,0.594
8:38:00,0.603,0.103,0.588,0.602,0.604
8:48:00,0.625,0.102,0.592,0.599,0.593
8:58:00,0.617,0.103,0.582,0.599,0.595
9:08:00,0.629,0.103,0.581,0.598,0.594
9:18:00,0.64,0.103,0.581,0.596,0.593
9:28:00,0.6,0.103,0.58,0.596,0.6
9:38:00,0.598,0.102,0.581,0.595,0.59
9:48:00,0.598,0.102,0.578,0.594,0.588
9:58:00,0.597,0.103,0.577,0.593,0.596
10:08:00,0.627,0.104,0.576,0.591,0.586
10:18:00,0.595,0.103,0.575,0.591,0.584
10:28:00,0.595,0.103,0.574,0.59,0.584
10:38:00,0.594,0.102,0.573,0.589,0.583
10:48:00,0.594,0.103,0.572,0.587,0.582
10:58:00,0.592,0.102,0.571,0.587,0.581
11:08:00,0.591,0.103,0.57,0.586,0.581
11:18:00,0.591,0.103,0.57,0.585,0.58
11:28:00,0.589,0.102,0.569,0.585,0.579
11:38:00,0.589,0.102,0.568,0.583,0.58
11:48:00,0.588,0.103,0.567,0.582,0.578
11:58:00,0.587,0.102,0.566,0.582,0.577
12:08:00,0.586,0.103,0.565,0.58,0.577
12:18:00,0.586,0.103,0.564,0.58,0.576
12:28:00,0.585,0.103,0.564,0.578,0.576
12:38:00,0.583,0.102,0.562,0.578,0.575
12:48:00,0.583,0.102,0.562,0.577,0.575
12:58:00,0.583,0.103,0.562,0.576,0.574
13:08:00,0.581,0.102,0.56,0.575,0.581
13:18:00,0.581,0.103,0.56,0.574,0.572
13:28:00,0.581,0.102,0.559,0.573,0.571
13:38:00,0.58,0.102,0.558,0.572,0.571
13:48:00,0.58,0.103,0.558,0.571,0.57
13:58:00,0.579,0.103,0.557,0.57,0.569
14:08:00,0.579,0.103,0.556,0.569,0.568
14:18:00,0.577,0.103,0.554,0.569,0.568
14:28:00,0.577,0.103,0.554,0.567,0.57
14:38:00,0.576,0.102,0.553,0.566,0.566
14:48:00,0.575,0.102,0.552,0.566,0.567
14:58:00,0.575,0.102,0.551,0.565,0.565
15:08:00,0.575,0.104,0.551,0.564,0.565
15:18:00,0.575,0.103,0.55,0.563,0.564
15:28:00,0.573,0.102,0.549,0.563,0.564
15:38:00,0.572,0.103,0.548,0.562,0.563
15:48:00,0.572,0.103,0.548,0.561,0.562
15:58:00,0.571,0.103,0.547,0.56,0.562
16:08:00,0.571,0.103,0.546,0.559,0.561
16:18:00,0.57,0.102,0.545,0.558,0.56
16:28:00,0.569,0.103,0.545,0.557,0.56
16:38:00,0.569,0.103,0.544,0.557,0.559
16:48:00,0.568,0.103,0.543,0.556,0.559
16:58:00,0.569,0.102,0.543,0.555,0.559
17:08:00,0.567,0.103,0.543,0.554,0.563
17:18:00,0.566,0.102,0.541,0.553,0.557
17:28:00,0.567,0.103,0.541,0.553,0.557
17:38:00,0.566,0.103,0.54,0.552,0.556
17:48:00,0.565,0.103,0.539,0.551,0.556
17:58:00,0.564,0.102,0.538,0.551,0.555
18:08:00,0.564,0.103,0.538,0.55,0.554
18:18:00,0.564,0.104,0.538,0.55,0.554
18:28:00,0.566,0.103,0.537,0.549,0.554
