Time,T° Read 1:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:08:04,37,0.088,0.091,0.09,0.09,0.088,0.09,0.09,0.09,0.09,0.089,0.088,0.09,0.091,0.12,0.125,0.095,0.115,0.124,0.12,0.118,0.091,0.105,0.089,0.089,0.091,0.176,0.159,0.139,0.145,0.173,0.175,0.157,0.117,0.147,0.115,0.088,0.091,0.141,0.142,0.146,0.142,0.161,0.174,0.165,0.132,0.129,0.125,0.092,0.091,0.126,0.13,0.151,0.146,0.159,0.145,0.174,0.135,0.133,0.121,0.089,0.089,0.128,0.126,0.131,0.13,0.133,0.133,0.131,0.133,0.133,0.114,0.089,0.091,0.128,0.121,0.128,0.125,0.125,0.128,0.128,0.134,0.124,0.088,0.09,0.089,0.089,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
0:18:04,37,0.089,0.091,0.09,0.089,0.088,0.09,0.09,0.089,0.09,0.089,0.088,0.09,0.091,0.133,0.132,0.097,0.122,0.132,0.129,0.127,0.091,0.109,0.089,0.089,0.09,0.153,0.126,0.099,0.101,0.127,0.139,0.125,0.088,0.113,0.089,0.088,0.09,0.097,0.093,0.111,0.092,0.117,0.137,0.132,0.089,0.088,0.09,0.092,0.091,0.096,0.092,0.129,0.094,0.127,0.103,0.141,0.09,0.09,0.089,0.089,0.089,0.123,0.089,0.095,0.097,0.103,0.098,0.092,0.091,0.095,0.089,0.089,0.091,0.137,0.09,0.092,0.09,0.09,0.09,0.091,0.101,0.094,0.089,0.09,0.089,0.089,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
0:28:04,37,0.089,0.091,0.09,0.089,0.088,0.09,0.09,0.089,0.09,0.088,0.088,0.09,0.091,0.144,0.14,0.099,0.131,0.143,0.14,0.138,0.09,0.115,0.089,0.089,0.09,0.165,0.136,0.1,0.098,0.137,0.151,0.136,0.088,0.12,0.089,0.088,0.09,0.096,0.094,0.109,0.091,0.124,0.15,0.144,0.089,0.089,0.089,0.092,0.091,0.096,0.089,0.12,0.094,0.135,0.093,0.155,0.09,0.09,0.089,0.089,0.089,0.133,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.148,0.09,0.092,0.091,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
0:38:04,37,0.088,0.09,0.089,0.089,0.088,0.09,0.089,0.089,0.089,0.088,0.088,0.09,0.091,0.152,0.151,0.109,0.142,0.154,0.152,0.15,0.09,0.121,0.089,0.088,0.09,0.175,0.148,0.103,0.096,0.148,0.164,0.149,0.088,0.129,0.089,0.089,0.09,0.096,0.095,0.114,0.091,0.133,0.159,0.158,0.088,0.088,0.089,0.092,0.09,0.095,0.089,0.129,0.094,0.146,0.093,0.167,0.09,0.089,0.089,0.088,0.089,0.144,0.089,0.09,0.09,0.091,0.09,0.09,0.091,0.095,0.088,0.089,0.091,0.161,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
0:48:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.09,0.091,0.163,0.163,0.105,0.153,0.163,0.164,0.164,0.09,0.13,0.088,0.089,0.09,0.19,0.159,0.106,0.095,0.159,0.175,0.162,0.088,0.14,0.089,0.089,0.09,0.096,0.096,0.121,0.091,0.144,0.167,0.17,0.088,0.089,0.089,0.092,0.09,0.095,0.089,0.14,0.094,0.156,0.092,0.178,0.09,0.09,0.089,0.089,0.089,0.155,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.17,0.09,0.093,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.089,0.091,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
0:58:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.09,0.088,0.088,0.09,0.092,0.177,0.173,0.111,0.162,0.174,0.174,0.174,0.091,0.138,0.089,0.089,0.09,0.217,0.168,0.111,0.095,0.168,0.188,0.172,0.088,0.151,0.089,0.089,0.091,0.096,0.097,0.13,0.091,0.154,0.186,0.183,0.088,0.088,0.09,0.092,0.091,0.095,0.089,0.152,0.094,0.165,0.092,0.197,0.09,0.09,0.089,0.089,0.089,0.164,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.182,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.09
1:08:04,37,0.089,0.091,0.09,0.089,0.088,0.09,0.09,0.089,0.09,0.088,0.088,0.09,0.091,0.236,0.182,0.117,0.174,0.189,0.19,0.191,0.09,0.145,0.088,0.089,0.09,0.242,0.182,0.116,0.094,0.183,0.208,0.189,0.088,0.162,0.088,0.088,0.091,0.096,0.099,0.141,0.091,0.163,0.214,0.203,0.088,0.089,0.089,0.092,0.09,0.095,0.089,0.162,0.094,0.18,0.092,0.226,0.09,0.09,0.089,0.088,0.089,0.175,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.088,0.089,0.091,0.202,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
1:18:04,37,0.089,0.091,0.089,0.09,0.088,0.091,0.09,0.09,0.089,0.088,0.088,0.09,0.091,0.223,0.199,0.124,0.191,0.213,0.217,0.217,0.091,0.154,0.089,0.089,0.091,0.275,0.206,0.123,0.094,0.208,0.236,0.216,0.088,0.172,0.089,0.089,0.091,0.096,0.101,0.153,0.091,0.175,0.234,0.233,0.089,0.089,0.09,0.092,0.09,0.095,0.089,0.174,0.094,0.2,0.092,0.257,0.09,0.09,0.089,0.089,0.089,0.198,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.092,0.225,0.09,0.092,0.09,0.09,0.09,0.09,0.101,0.094,0.088,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
1:28:04,37,0.088,0.091,0.089,0.089,0.088,0.09,0.09,0.089,0.089,0.088,0.088,0.089,0.091,0.254,0.222,0.134,0.215,0.236,0.241,0.242,0.09,0.166,0.088,0.088,0.09,0.31,0.229,0.131,0.094,0.231,0.265,0.242,0.088,0.188,0.089,0.088,0.09,0.095,0.103,0.163,0.091,0.192,0.266,0.263,0.088,0.088,0.089,0.091,0.09,0.095,0.089,0.192,0.093,0.226,0.092,0.288,0.09,0.089,0.089,0.088,0.088,0.218,0.089,0.09,0.089,0.091,0.091,0.091,0.09,0.095,0.088,0.089,0.091,0.251,0.09,0.092,0.09,0.09,0.09,0.09,0.1,0.094,0.088,0.09,0.088,0.088,0.091,0.089,0.089,0.091,0.089,0.092,0.091,0.093,0.09,0.089
1:38:04,37,0.089,0.091,0.09,0.089,0.088,0.091,0.09,0.089,0.089,0.089,0.088,0.09,0.091,0.295,0.245,0.147,0.239,0.267,0.274,0.274,0.091,0.186,0.089,0.089,0.09,0.349,0.259,0.142,0.094,0.261,0.3,0.275,0.088,0.214,0.089,0.089,0.091,0.096,0.107,0.174,0.091,0.217,0.295,0.297,0.089,0.089,0.09,0.092,0.091,0.094,0.089,0.219,0.094,0.255,0.092,0.329,0.09,0.091,0.089,0.089,0.089,0.244,0.089,0.09,0.09,0.091,0.091,0.091,0.091,0.095,0.089,0.089,0.091,0.283,0.09,0.093,0.09,0.09,0.09,0.091,0.101,0.094,0.089,0.09,0.089,0.088,0.092,0.089,0.089,0.091,0.089,0.093,0.091,0.093,0.09,0.089
