Time,"T° Read 3:530/25,590/20",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:15,37,10078,10093,10171,10244,10022,10047,10083,10101,10182,10189,10076,10075,10234,9856,9935,9940,9945,10110,10292,10027,10153,10157,10123,9983,9880,9840,9850,9839,9927,9884,10164,10107,9983,10086,10078,9921,10231,10101,9756,9814,9694,9832,10092,9797,9894,9780,9989,10036,10283,10125,10014,9913,9791,9805,9774,9534,9898,9847,9869,9566,10254,9967,10159,10059,9981,10011,10095,10114,10050,10194,10038,10135,10264,9935,10046,10136,10108,10024,10052,10108,10068,10222,10144,10078,10170,10217,10201,10228,10212,10045,10120,9967,10072,10181,10094,10216
0:19:15,37,10182,10211,10276,10343,10128,10160,10166,10196,10291,10296,10151,10118,10342,9965,10027,10008,10011,10251,10366,10097,10259,10267,10267,10049,10001,9959,10017,10014,10114,10078,10368,10279,10292,10332,10190,9976,10347,10253,9896,9976,9912,10060,10388,9952,10289,10156,10119,10073,10396,10287,10210,10032,9972,9988,9911,9635,10328,10191,9994,9681,10398,10079,10296,10234,10160,10150,10253,10310,10254,10373,10158,10271,10374,10037,10163,10298,10240,10159,10179,10256,10219,10347,10265,10210,10317,10357,10304,10334,10337,10192,10228,10104,10184,10310,10223,10348
0:29:15,37,10258,10310,10350,10423,10224,10249,10209,10213,10374,10385,10181,10166,10407,9985,10057,10040,10055,10315,10368,10116,10345,10363,10367,10076,10071,9988,10047,10052,10152,10122,10418,10293,10383,10419,10295,10028,10436,10316,9923,10012,9920,10150,10465,9983,10350,10207,10170,10112,10475,10375,10285,10044,10021,10003,10003,9658,10386,10261,10055,9751,10457,10083,10363,10301,10206,10219,10309,10364,10310,10427,10221,10341,10444,10052,10229,10350,10293,10193,10211,10295,10244,10426,10327,10262,10389,10410,10363,10390,10398,10247,10292,10162,10259,10363,10262,10395
0:39:15,37,10176,10241,10307,10334,10124,10157,10064,10117,10298,10307,10062,10057,10309,9881,9963,9962,9939,10236,10226,9940,10284,10273,10317,9968,10003,9865,9930,9915,10028,9986,10364,10166,10321,10317,10196,9884,10335,10243,9813,9885,9803,10068,10385,9857,10294,10133,10123,9985,10376,10260,10216,9930,9947,9892,9902,9533,10316,10185,9986,9675,10368,9994,10294,10225,10114,10140,10236,10290,10244,10340,10132,10239,10356,9953,10143,10273,10193,10109,10133,10234,10164,10332,10253,10207,10315,10342,10312,10342,10301,10165,10219,10089,10162,10283,10203,10314
0:49:15,37,10363,10414,10479,10531,10307,10354,10201,10255,10483,10498,10209,10189,10516,10007,10097,10045,10043,10413,10321,10027,10467,10474,10506,10082,10160,9997,10050,9984,10170,10134,10537,10264,10488,10515,10392,10017,10539,10418,9908,9983,9931,10261,10559,9941,10436,10301,10290,10131,10551,10444,10426,10048,10129,10023,10091,9670,10492,10352,10156,9837,10542,10119,10453,10409,10299,10315,10405,10495,10409,10540,10315,10441,10539,10078,10342,10440,10388,10298,10324,10392,10368,10524,10429,10369,10471,10515,10485,10510,10490,10328,10404,10245,10332,10455,10366,10492
0:59:15,37,10058,10108,10172,10216,9990,10023,9884,9929,10191,10197,9880,9804,10200,9662,9766,9670,9712,10093,9970,9689,10148,10150,10199,9716,9889,9669,9678,9632,9839,9815,10252,9902,10184,10199,10105,9697,10252,10143,9567,9625,9611,9976,10264,9624,10163,10018,9998,9783,10263,10156,10129,9707,9841,9698,9806,9382,10192,10067,9886,9584,10259,9838,10180,10127,10024,10031,10105,10184,10134,10261,10063,10164,10259,9789,10070,10167,10134,10034,10048,10141,10084,10244,10157,10098,10204,10243,10222,10224,10230,10083,10151,10007,10085,10181,10119,10236
1:09:15,37,9987,10026,10078,10140,9936,9972,9743,9821,10089,10110,9736,9669,10137,9502,9590,9529,9554,10031,9847,9577,10064,10071,10135,9575,9798,9540,9543,9454,9708,9687,10197,9780,10110,10118,9994,9514,10149,10051,9416,9479,9441,9872,10190,9479,10085,9935,9924,9616,10183,10081,10065,9517,9731,9598,9712,9253,10120,9997,9787,9510,10168,9679,10111,10033,9938,9943,10029,10098,10047,10145,9957,10079,10188,9663,9978,10089,10037,9955,9961,10053,10009,10170,10076,10030,10115,10173,10132,10137,10138,9988,10054,9922,10019,10110,10028,10139
1:19:15,37,9923,9954,10025,10093,9882,9892,9603,9664,10017,10054,9601,9558,10064,9396,9497,9386,9409,9978,9671,9470,10009,10024,10076,9439,9758,9411,9417,9324,9561,9546,10144,9638,10057,10056,9962,9405,10112,9997,9285,9354,9302,9827,10126,9385,10022,9886,9861,9495,10126,10024,9990,9402,9691,9458,9682,9242,10041,9932,9767,9462,10124,9551,10021,9969,9901,9920,9992,10046,9980,10113,9907,10031,10138,9576,9937,10023,9966,9888,9910,10000,9952,10106,10010,9956,10061,10113,10078,10089,10093,9940,9973,9878,9959,10054,9978,10079
1:29:15,37,10407,10480,10532,10628,10388,10401,10009,10104,10538,10570,10025,9949,10566,9784,9896,9758,9788,10474,10041,9886,10497,10502,10569,9815,10239,9807,9816,9704,9985,9966,10645,10009,10542,10547,10429,9767,10581,10481,9619,9682,9655,10277,10607,9736,10503,10362,10326,9853,10608,10498,10472,9752,10097,9847,10127,9657,10512,10377,10194,9890,10584,9944,10505,10441,10367,10340,10434,10506,10447,10592,10356,10482,10567,9917,10360,10472,10424,10346,10356,10441,10377,10547,10463,10401,10488,10538,10528,10540,10527,10373,10420,10275,10347,10492,10414,10532
1:39:15,37,10082,10121,10175,10246,10016,10066,9614,9712,10180,10205,9587,9545,10236,9387,9543,9368,9386,10125,9625,9567,10155,10164,10246,9426,9882,9408,9453,9297,9577,9576,10336,9655,10206,10207,10088,9372,10241,10137,9232,9320,9286,9966,10283,9399,10167,10026,10032,9482,10270,10178,10170,9394,9772,9473,9810,9388,10193,10071,9880,9595,10264,9570,10177,10107,10039,10030,10129,10152,10137,10261,10053,10149,10257,9592,10061,10177,10107,10020,10058,10133,10086,10248,10133,10086,10200,10233,10209,10242,10227,10071,10123,9979,10074,10204,10108,10219
