Time,T° Read 1:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:08:00,37,0.115,0.095,0.099,0.098,0.098,0.098,0.123,0.124,0.097,0.096,0.129,0.145,0.098,0.136,0.134,0.143,0.145,0.1,0.171,0.298,0.097,0.098,0.109,0.144,0.098,0.154,0.179,0.19,0.167,0.171,0.215,0.228,0.142,0.135,0.101,0.143,0.097,0.125,0.178,0.183,0.176,0.142,0.158,0.245,0.142,0.136,0.119,0.144,0.099,0.102,0.125,0.166,0.116,0.158,0.112,0.273,0.135,0.13,0.098,0.104,0.099,0.127,0.102,0.098,0.097,0.102,0.096,0.11,0.118,0.117,0.102,0.1,0.097,0.126,0.101,0.097,0.097,0.096,0.096,0.097,0.096,0.095,0.097,0.1,0.099,0.096,0.096,0.097,0.097,0.096,0.097,0.099,0.097,0.098,0.097,0.1
0:18:00,37,0.115,0.095,0.099,0.097,0.098,0.097,0.131,0.132,0.096,0.096,0.139,0.158,0.099,0.146,0.144,0.155,0.158,0.099,0.17,0.295,0.096,0.097,0.105,0.157,0.099,0.136,0.16,0.168,0.141,0.14,0.171,0.199,0.097,0.097,0.1,0.154,0.097,0.1,0.159,0.162,0.15,0.1,0.106,0.225,0.096,0.098,0.101,0.156,0.099,0.101,0.107,0.155,0.101,0.136,0.116,0.266,0.095,0.096,0.098,0.103,0.098,0.135,0.102,0.098,0.096,0.101,0.095,0.097,0.098,0.096,0.102,0.099,0.096,0.135,0.1,0.097,0.097,0.096,0.096,0.097,0.096,0.094,0.1,0.1,0.099,0.095,0.096,0.097,0.097,0.095,0.096,0.098,0.097,0.097,0.096,0.099
0:28:00,37,0.116,0.096,0.099,0.098,0.098,0.098,0.142,0.143,0.097,0.096,0.151,0.172,0.099,0.159,0.156,0.168,0.171,0.099,0.192,0.334,0.097,0.097,0.103,0.173,0.099,0.147,0.174,0.178,0.154,0.152,0.177,0.228,0.098,0.098,0.101,0.17,0.097,0.101,0.171,0.174,0.163,0.1,0.106,0.256,0.096,0.098,0.102,0.173,0.1,0.102,0.121,0.169,0.103,0.148,0.117,0.299,0.095,0.096,0.099,0.104,0.099,0.147,0.101,0.098,0.096,0.102,0.096,0.098,0.098,0.096,0.103,0.1,0.097,0.146,0.101,0.098,0.097,0.096,0.097,0.098,0.096,0.095,0.098,0.101,0.099,0.096,0.097,0.097,0.097,0.096,0.097,0.099,0.097,0.097,0.096,0.1
0:38:00,37,0.116,0.095,0.099,0.098,0.098,0.098,0.155,0.156,0.096,0.096,0.164,0.183,0.099,0.17,0.168,0.178,0.181,0.099,0.219,0.394,0.097,0.097,0.102,0.184,0.098,0.161,0.184,0.193,0.166,0.165,0.178,0.259,0.097,0.098,0.101,0.183,0.097,0.101,0.181,0.186,0.173,0.099,0.106,0.276,0.096,0.098,0.101,0.186,0.099,0.101,0.103,0.18,0.104,0.16,0.116,0.328,0.095,0.096,0.098,0.104,0.099,0.16,0.101,0.098,0.096,0.102,0.096,0.097,0.098,0.096,0.103,0.1,0.097,0.158,0.101,0.098,0.097,0.095,0.096,0.097,0.096,0.095,0.098,0.101,0.099,0.096,0.096,0.097,0.097,0.095,0.097,0.099,0.097,0.097,0.096,0.099
0:48:00,37,0.116,0.095,0.099,0.098,0.098,0.098,0.166,0.168,0.097,0.096,0.175,0.199,0.099,0.18,0.177,0.193,0.195,0.099,0.247,0.45,0.097,0.097,0.101,0.199,0.099,0.173,0.199,0.216,0.175,0.176,0.176,0.281,0.097,0.098,0.1,0.194,0.097,0.101,0.196,0.203,0.184,0.1,0.106,0.307,0.096,0.098,0.102,0.2,0.099,0.101,0.102,0.196,0.105,0.171,0.117,0.361,0.095,0.096,0.098,0.103,0.099,0.171,0.101,0.098,0.097,0.102,0.096,0.097,0.098,0.096,0.103,0.1,0.097,0.168,0.101,0.098,0.098,0.096,0.096,0.097,0.096,0.095,0.098,0.1,0.099,0.096,0.097,0.097,0.097,0.096,0.097,0.099,0.096,0.098,0.096,0.099
0:58:00,36.9,0.116,0.095,0.099,0.098,0.098,0.098,0.177,0.177,0.097,0.096,0.187,0.228,0.099,0.195,0.191,0.22,0.215,0.099,0.272,0.509,0.097,0.097,0.102,0.226,0.099,0.183,0.226,0.244,0.189,0.187,0.174,0.311,0.098,0.098,0.101,0.214,0.097,0.101,0.223,0.231,0.201,0.099,0.106,0.355,0.097,0.098,0.101,0.221,0.1,0.102,0.102,0.218,0.108,0.181,0.121,0.392,0.095,0.096,0.099,0.104,0.099,0.18,0.101,0.099,0.097,0.102,0.096,0.097,0.098,0.097,0.103,0.101,0.097,0.178,0.101,0.098,0.097,0.097,0.097,0.098,0.096,0.095,0.098,0.1,0.1,0.096,0.097,0.097,0.097,0.096,0.097,0.099,0.097,0.098,0.097,0.1
1:08:00,37,0.116,0.096,0.1,0.098,0.098,0.098,0.193,0.193,0.097,0.097,0.207,0.253,0.099,0.221,0.214,0.245,0.245,0.099,0.298,0.559,0.097,0.097,0.102,0.254,0.099,0.198,0.252,0.275,0.207,0.204,0.17,0.355,0.098,0.098,0.101,0.245,0.097,0.101,0.247,0.258,0.228,0.1,0.106,0.408,0.096,0.098,0.101,0.253,0.099,0.102,0.102,0.249,0.11,0.197,0.118,0.423,0.095,0.096,0.099,0.104,0.099,0.195,0.101,0.099,0.097,0.102,0.096,0.097,0.098,0.097,0.103,0.1,0.097,0.193,0.101,0.098,0.097,0.096,0.097,0.098,0.097,0.095,0.098,0.101,0.1,0.096,0.097,0.097,0.097,0.096,0.097,0.1,0.098,0.098,0.097,0.1
1:18:00,37,0.116,0.095,0.099,0.098,0.098,0.098,0.22,0.219,0.097,0.097,0.235,0.285,0.098,0.245,0.235,0.277,0.275,0.099,0.338,0.615,0.097,0.097,0.101,0.287,0.099,0.223,0.284,0.31,0.233,0.233,0.167,0.41,0.098,0.098,0.1,0.273,0.097,0.1,0.276,0.288,0.253,0.099,0.106,0.467,0.096,0.098,0.101,0.288,0.099,0.102,0.102,0.281,0.112,0.223,0.115,0.448,0.096,0.096,0.099,0.104,0.099,0.221,0.101,0.098,0.096,0.102,0.096,0.097,0.098,0.096,0.103,0.1,0.096,0.217,0.102,0.098,0.097,0.096,0.097,0.097,0.097,0.095,0.097,0.1,0.099,0.096,0.097,0.097,0.097,0.096,0.097,0.099,0.098,0.098,0.097,0.1
1:28:00,37,0.115,0.095,0.099,0.098,0.098,0.098,0.244,0.242,0.097,0.096,0.262,0.32,0.099,0.277,0.262,0.311,0.311,0.099,0.396,0.671,0.097,0.097,0.101,0.323,0.099,0.247,0.319,0.353,0.26,0.258,0.162,0.466,0.098,0.099,0.1,0.306,0.096,0.1,0.313,0.329,0.288,0.099,0.105,0.519,0.096,0.098,0.101,0.322,0.099,0.101,0.101,0.313,0.115,0.251,0.114,0.462,0.095,0.096,0.098,0.104,0.099,0.244,0.101,0.099,0.096,0.102,0.096,0.097,0.098,0.097,0.103,0.1,0.097,0.24,0.102,0.098,0.098,0.096,0.097,0.097,0.096,0.095,0.098,0.1,0.099,0.096,0.096,0.097,0.097,0.096,0.097,0.099,0.097,0.097,0.097,0.1
1:38:00,36.9,0.115,0.095,0.099,0.097,0.098,0.098,0.275,0.273,0.096,0.096,0.293,0.361,0.098,0.309,0.292,0.352,0.354,0.099,0.45,0.699,0.097,0.098,0.1,0.367,0.098,0.278,0.352,0.392,0.294,0.291,0.158,0.522,0.097,0.097,0.1,0.35,0.096,0.1,0.352,0.371,0.325,0.098,0.105,0.571,0.096,0.098,0.101,0.361,0.099,0.101,0.101,0.346,0.12,0.284,0.118,0.473,0.095,0.096,0.098,0.103,0.098,0.275,0.103,0.098,0.097,0.101,0.095,0.097,0.098,0.097,0.102,0.101,0.096,0.269,0.101,0.098,0.097,0.096,0.097,0.097,0.097,0.094,0.097,0.1,0.099,0.096,0.096,0.097,0.097,0.095,0.097,0.099,0.097,0.097,0.097,0.1
