Time,"T° Read 3:540/25,590/20",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:09:17,37,16742,16746,16758,16713,16715,16577,16537,16908,16256,16584,16482,16864,16500,16359,16854,16756,16700,16449,16952,17066,16716,16077,16416,16618,16480,16882,16577,16407,16720,16300,16727,16781,16616,16648,16297,16504,16390,16363,16539,15992,16226,16041,16457,16590,16476,16550,16238,16740,16466,16299,16308,15971,16208,16072,16432,16472,16358,16344,16117,16564,16421,16451,16371,15961,15875,16093,16197,15938,16008,16226,16223,16644,16633,16540,16261,16058,15811,15739,15731,15798,15538,16307,16449,16656,16390,16592,16754,16110,16054,16009,15878,16580,15680,16168,16280,16421
0:19:17,37,16578,16589,16582,16596,16506,16477,16311,16682,16045,16469,16315,16678,16481,16224,16739,16641,16603,16372,16863,16969,16756,15932,16321,16584,16417,16844,16670,16496,16809,16334,16837,16800,16631,16760,16258,16494,16355,16427,16651,16284,16491,16299,16683,16734,16629,16730,16389,16649,16382,16341,16555,16106,16287,16130,16674,16563,16673,16710,16273,16518,16396,16436,16543,16167,16112,16274,16335,16172,16276,16424,16266,16562,16538,16475,16387,16197,15975,15969,16038,16068,15787,16438,16377,16563,16338,16438,16708,16022,16083,15937,15881,16482,15571,16126,16181,16382
0:29:17,37,16569,16526,16539,16546,16535,16467,16363,16695,16072,16417,16351,16629,16411,16222,16854,16627,16560,16359,16762,16898,16729,15970,16291,16542,16449,16803,16689,16521,16846,16361,16798,16812,16678,16726,16282,16430,16382,16463,16680,16334,16503,16296,16752,16763,16670,16782,16353,16714,16432,16397,16573,16212,16321,16143,16761,16585,16695,16698,16190,16567,16380,16441,16611,16266,16282,16343,16572,16330,16428,16417,16263,16559,16587,16548,16394,16129,16090,15971,16031,16077,15800,16500,16452,16642,16297,16485,16714,16110,16039,15945,15829,16496,15672,16159,16185,16391
0:39:17,37,16513,16560,16548,16562,16558,16448,16376,16693,16080,16464,16281,16614,16389,16210,16857,16626,16467,16334,16746,16878,16657,15852,16251,16597,16377,16767,16704,16450,16840,16291,16746,16749,16651,16648,16248,16382,16342,16387,16711,16198,16401,16268,16672,16719,16595,16726,16283,16644,16414,16387,16555,16175,16340,16110,16708,16472,16632,16651,16221,16513,16368,16466,16480,16194,16269,16422,16449,16319,16340,16432,16219,16504,16493,16607,16377,16192,16030,16028,15972,16056,15820,16446,16393,16571,16313,16430,16636,16052,16023,15908,15843,16480,15641,16080,16216,16351
0:49:17,37,16576,16558,16549,16628,16588,16489,16406,16755,16119,16535,16334,16711,16436,16194,16867,16660,16504,16320,16669,16895,16656,15871,16301,16587,16411,16758,16754,16488,16867,16273,16702,16753,16628,16699,16159,16404,16316,16469,16693,16235,16456,16255,16632,16664,16640,16732,16348,16669,16336,16369,16560,16223,16332,16112,16703,16551,16685,16699,16270,16545,16411,16551,16494,16204,16258,16421,16449,16302,16342,16416,16273,16505,16582,16608,16355,16187,16002,16111,15951,16024,15773,16355,16474,16603,16286,16467,16700,16036,16036,15925,15878,16592,15639,16045,16198,16359
0:59:17,37,16648,16662,16634,16567,16540,16493,16404,16767,16115,16435,16317,16704,16461,16179,16932,16685,16455,16331,16693,16835,16649,15872,16324,16579,16489,16732,16925,16532,16852,16299,16676,16756,16689,16634,16245,16448,16386,16425,16742,16249,16520,16204,16578,16704,16675,16769,16273,16640,16476,16385,16511,16269,16382,16151,16771,16556,16635,16718,16323,16563,16375,16670,16535,16280,16255,16443,16520,16334,16342,16438,16261,16518,16522,16841,16306,16238,16026,16069,15999,16064,15797,16485,16429,16628,16347,16504,16692,16050,16050,15953,15896,16560,15604,16078,16164,16398
1:09:17,37,16489,16538,16523,16497,16537,16410,16290,16691,16032,16455,16285,16655,16358,16101,17017,16623,16406,16268,16595,16783,16674,15815,16269,16483,16329,16619,16906,16432,16899,16256,16568,16637,16605,16542,16237,16459,16353,16438,16662,16193,16446,16186,16468,16573,16596,16670,16261,16666,16386,16300,16562,16162,16375,16020,16646,16438,16636,16649,16222,16478,16355,16666,16440,16137,16163,16387,16499,16244,16350,16370,16194,16482,16475,16875,16327,16128,16007,15982,15995,16006,15816,16348,16456,16550,16324,16415,16635,16010,15964,15935,15786,16459,15561,16019,16195,16314
1:19:17,37,16546,16531,16551,16516,16484,16401,16294,16628,16048,16421,16258,16594,16431,16074,17236,16592,16404,16244,16552,16667,16654,15832,16295,16533,16477,16720,17086,16425,16943,16174,16578,16563,16665,16637,16222,16467,16345,16490,16721,16148,16452,16248,16465,16511,16652,16773,16310,16684,16430,16396,16594,16226,16378,16069,16754,16435,16697,16659,16237,16512,16342,16808,16505,16234,16283,16397,16447,16349,16333,16454,16226,16507,16625,17039,16362,16181,16054,16003,16016,16079,15811,16417,16418,16575,16334,16395,16727,16049,16031,15943,15930,16526,15661,16089,16164,16426
1:29:17,37,16494,16579,16587,16565,16488,16501,16364,16703,16076,16431,16322,16680,16445,16093,17303,16584,16294,16247,16578,16700,16713,15861,16302,16601,16413,16644,17335,16370,16890,16231,16502,16559,16734,16576,16196,16431,16407,16499,16716,16177,16491,16175,16363,16511,16718,16789,16297,16695,16415,16363,16655,16201,16404,16066,16783,16456,16666,16712,16254,16552,16294,17056,16480,16232,16308,16408,16502,16350,16370,16435,16354,16585,16576,17315,16420,16177,16082,16000,15989,16154,15806,16456,16419,16629,16334,16468,16757,16074,16040,15928,15918,16540,15638,16081,16148,16400
1:39:17,37,16679,16590,16528,16522,16590,16450,16287,16783,16148,16484,16333,16590,16404,16089,17534,16555,16301,16196,16471,16660,16658,15779,16252,16582,16472,16611,17567,16362,16929,16168,16452,16621,16686,16512,16260,16465,16364,16416,16695,16158,16499,16108,16366,16551,16718,16754,16332,16702,16438,16468,16629,16149,16361,16080,16750,16558,16675,16709,16279,16496,16391,17266,16516,16308,16304,16446,16482,16328,16442,16396,16293,16489,16660,17587,16407,16191,15982,16076,15967,16153,15818,16485,16486,16584,16362,16494,16699,16074,16067,15983,15909,16542,15607,16132,16184,16358
